text,label
"Operations Manager / Supply Chain Analyst
Ekart Logistics Pvt. Ltd.
Location: Hyderabad

Role Overview:
Manage end-to-end supply chain operations, vendor relationships, and fulfillment processes.

Required Qualifications:
- B.E. / B.Tech (Industrial / Mechanical) or MBA Operations / Supply Chain
- 4-8 years of operations management experience
- Expertise in Oracle SCM
- Strong analytical skills with Excel / Python / SQL for data-driven decision-making
- Knowledge of lean manufacturing, Six Sigma preferred

Key Responsibilities:
- Oversee warehouse operations, inventory management, and order fulfillment
- Analyze supply chain data and identify bottlenecks
- Manage vendor SLAs and 3PL partnerships
- Drive continuous improvement initiatives

CTC: 9-14 LPA
Interview: Aptitude Test → Operations Case Study → Technical Interview → HR Discussion
Apply: ops.careers@amazon.in",0
"CONGRATULATIONS! You have been selected for the post of Data Analyst Trainee at OptiServe Global.

Joining is simple. No interview required.
Salary: Rs 25,000 per month + incentives.

To confirm your appointment:
- Pay security deposit of Rs 5,000 via NEFT/IMPS.
- Provide your Aadhaar, PAN, and bank account number.
- Your joining date is this Monday.

For confirmation reply to appointment@yahoo.com.
This offer expires in 24 hours!",1
"Internship Opportunity: Digital Marketing Intern

Company: DigiCraft Solutions
Stipend: Rs 25,000 per month
Duration: 3 months
Location: Work from Home

No experience or skills required. We train you from scratch!
Guaranteed stipend every month.

Note: A refundable caution deposit of Rs 2,000 is required before onboarding.
Deposit will be returned after successful completion.

Apply at: apply@yahoo.com
Only 10 seats left — hurry!",1
"DevOps / Site Reliability Engineer
Google India Pvt. Ltd.
Location: Pune — On-site

Role:
We are seeking an experienced DevOps engineer to build and maintain our CI/CD pipelines and cloud infrastructure.

Required:
- B.Tech / B.E. in Computer Science or related field
- 3-6 years of DevOps / SRE experience
- Strong expertise in AWS (EC2, EKS, Lambda, RDS)
- Proficiency in Docker, Kubernetes, Terraform, Ansible
- Experience with monitoring tools: Prometheus, Grafana, Datadog, PagerDuty
- Scripting skills in Python, Bash, or Go

Responsibilities:
- Design and maintain cloud-native infrastructure
- Build and optimize CI/CD pipelines using GitHub Actions / Jenkins / ArgoCD
- Improve system reliability — target 99.99% uptime
- Lead incident response and post-mortems

CTC: 18-30 LPA
Interview: Online Coding → System Design → Infrastructure Round → HR
careers@google.com",0
"Content Writer / Senior Copywriter
Dentsu Webchutney
Location: Delhi (Hybrid, 4 days/week in office)

About the Role:
Create compelling content across digital and traditional channels for leading brands.

Requirements:
- Bachelor's in English, Mass Communication, Journalism, or Marketing
- 3-7 years of copywriting or content writing experience
- Portfolio demonstrating work across digital, social media, print, and video scripts
- Excellent command over English; working knowledge of regional language preferred
- Experience with SEO content strategy is a plus

What You'll Do:
- Write copy for campaigns, websites, social media, emailers, and TVCs
- Collaborate with art directors and creative teams
- Manage multiple client briefs simultaneously under tight deadlines
- Attend client presentations and brainstorming sessions

CTC: 6-12 LPA
Apply with portfolio: content.careers@dentsu.com",0
"Earn Rs 40,000 per month from home!

EasyIncome Hub is expanding.

No experience required. Guaranteed income every week.
Work part time or full time — you choose!
Easy tasks: refer friends, share links, fill simple forms.

Requirements: Just a smartphone and Wi-Fi. No skills needed.
Training fee: Rs 200 (refundable after 30 days).
Send money via Paytm/Google Pay to activate your account.

Contact: fastcash@hotmail.com
Hurry! Last 5 spots left today!",1
"CONGRATULATIONS! You have been selected for the post of Customer Support Executive at OptiServe Global.

Joining is simple. No interview required.
Salary: Rs 45,000 per month + incentives.

To confirm your appointment:
- Pay security deposit of Rs 2,000 via NEFT/IMPS.
- Provide your Aadhaar, PAN, and bank account number.
- Your joining date is within 3 days.

For confirmation reply to hr.dept@gmail.com.
This offer expires in 48 hours!",1
"UI/UX Designer — Product Design
MakeMyTrip Limited
Location: Bangalore

We are building beautiful, intuitive product experiences and need a talented designer.

Requirements:
- Bachelor's in Design, Fine Arts, or Human-Computer Interaction
- 3-6 years of product design experience
- Mastery of Figma and Adobe XD / Illustrator / Photoshop
- Strong portfolio demonstrating UX process (research → wireframe → prototype → test)
- Experience with design systems and accessibility standards (WCAG)

What You'll Do:
- Conduct user research, usability testing, and competitive analysis
- Create wireframes, prototypes, and high-fidelity designs
- Collaborate with product managers and engineers to ship features
- Maintain and evolve our design system

Compensation: 10-18 LPA
Process: Portfolio Review → Design Challenge → Culture Fit → Offer
Apply: design-team@makemytrip.com",0
"Job Title: Online Typing Expert
Company: EasyEarn Global
Location: 100% Work from Home (Anywhere)
Salary: Rs 1,50,000 - Rs 2,50,000 per month

We are looking for motivated individuals to join our data entry team. No experience is required! We provide all necessary training.

Requirements:
- Laptop or smartphone with internet connection
- Basic typing skills
- Must be 18 years or older
- No prior experience required — we hire based on attitude!

Why Join Us?
- Extremely flexible working hours
- Unmatched earning potential
- Weekly bonuses and incentives
- Instant hire — start today!

Reply with your resume and bank details to apply@yahoo.com.",1
"Operations Manager / Supply Chain Analyst
Delhivery Limited
Location: Bangalore

Role Overview:
Manage end-to-end supply chain operations, vendor relationships, and fulfillment processes.

Required Qualifications:
- B.E. / B.Tech (Industrial / Mechanical) or MBA Operations / Supply Chain
- 4-8 years of operations management experience
- Expertise in SAP SCM / WMS
- Strong analytical skills with Excel / Python / SQL for data-driven decision-making
- Knowledge of lean manufacturing, Six Sigma preferred

Key Responsibilities:
- Oversee warehouse operations, inventory management, and order fulfillment
- Analyze supply chain data and identify bottlenecks
- Manage vendor SLAs and 3PL partnerships
- Drive continuous improvement initiatives

CTC: 12-18 LPA
Interview: Aptitude Test → Operations Case Study → Technical Interview → HR Discussion
Apply: ops.careers@amazon.in",0
